#depth[mm]	Amp[V]	HF [V]	TGC [dB]
114,9	0,021	-0,018	28,031
115,1	0,023	-0,010	28,031
115,2	0,027	-0,018	28,189
115,3	0,032	-0,002	28,189
115,5	0,038	0,021	28,189
115,6	0,044	0,029	28,189
115,8	0,052	0,053	28,189
115,9	0,059	0,061	28,189
116,0	0,066	0,045	28,346
116,2	0,073	0,006	28,346
116,3	0,080	-0,026	28,346
116,4	0,085	-0,065	28,346
116,6	0,090	-0,097	28,346
116,7	0,093	-0,073	28,346
116,8	0,096	-0,042	28,346
117,0	0,098	0,013	28,504
117,1	0,098	0,069	28,504
117,3	0,097	0,092	28,504
117,4	0,096	0,092	28,504
117,5	0,093	0,061	28,504
117,7	0,090	0,021	28,504
117,8	0,086	-0,026	28,661
117,9	0,081	-0,065	28,661
118,1	0,076	-0,065	28,661
118,2	0,070	-0,065	28,661
118,3	0,064	-0,057	28,661
118,5	0,058	-0,026	28,661
118,6	0,052	0,006	28,819
118,8	0,046	0,013	28,819
118,9	0,041	0,029	28,819
119,0	0,037	0,045	28,819
119,2	0,033	0,029	28,819
119,3	0,030	0,013	28,819
119,4	0,028	0,021	28,976
119,6	0,026	0,013	28,976
119,7	0,026	0,013	28,976
119,8	0,026	0,013	28,976
120,0	0,026	0,006	28,976
120,1	0,026	-0,018	28,976
120,3	0,026	-0,026	29,134
120,4	0,027	-0,034	29,134
120,5	0,027	-0,034	29,134
120,7	0,026	-0,010	29,134
120,8	0,026	-0,018	29,134
120,9	0,025	0,006	29,134
121,1	0,025	0,013	29,134
121,2	0,024	-0,002	29,291
121,3	0,023	-0,002	29,291
121,5	0,023	-0,010	29,291
121,6	0,022	-0,002	29,291
121,8	0,022	0,021	29,291
121,9	0,022	0,021	29,449
122,0	0,022	0,029	29,449
122,2	0,023	0,029	29,449
122,3	0,024	0,013	29,449
122,4	0,024	0,006	29,449
122,6	0,026	-0,002	29,449
122,7	0,027	-0,010	29,606
122,8	0,029	-0,018	29,606
123,0	0,031	-0,026	29,606
123,1	0,033	-0,026	29,606
123,3	0,035	-0,034	29,606
123,4	0,038	-0,034	29,606
123,5	0,041	-0,018	29,764
123,7	0,043	-0,002	29,764
123,8	0,046	0,021	29,764
123,9	0,048	0,037	29,764
124,1	0,050	0,045	29,764
124,2	0,051	0,045	29,764
124,4	0,052	0,037	29,764
124,5	0,052	0,013	29,921
124,6	0,051	-0,026	29,921
124,8	0,050	-0,034	29,921
124,9	0,048	-0,057	29,921
125,0	0,045	-0,034	29,921
125,2	0,042	-0,026	30,079
125,3	0,038	-0,010	30,079
125,4	0,034	0,006	30,079
125,6	0,030	0,013	30,079
125,7	0,026	0,013	30,079
125,9	0,023	0,021	30,079
126,0	0,020	0,021	30,236
126,1	0,017	0,013	30,236
126,3	0,016	0,006	30,236
126,4	0,015	0,006	30,236
126,5	0,015	-0,018	30,236
126,7	0,015	-0,002	30,236
126,8	0,016	0,013	30,236
126,9	0,017	0,006	30,236
127,1	0,018	0,021	30,236
127,2	0,019	-0,010	30,236
127,4	0,020	-0,002	30,236
127,5	0,021	-0,018	30,236
127,6	0,021	-0,018	30,236
127,8	0,021	-0,002	30,079
127,9	0,021	0,013	30,236
128,0	0,021	0,021	30,236
128,2	0,020	0,021	30,079
128,3	0,019	-0,002	30,236
128,4	0,019	-0,002	30,236
128,6	0,018	-0,010	30,236
128,7	0,019	-0,018	30,236
128,9	0,019	-0,002	30,236
129,0	0,020	0,006	30,236
129,1	0,021	-0,002	30,079
129,3	0,022	-0,010	30,079
129,4	0,023	-0,018	30,236
129,5	0,025	-0,010	30,236
129,7	0,025	0,021	30,236
129,8	0,026	0,029	30,079
129,9	0,026	0,029	30,079
130,1	0,026	0,013	30,236
130,2	0,025	0,006	30,236
130,4	0,023	-0,002	30,236
130,5	0,022	-0,018	30,236
130,6	0,020	-0,018	30,236
130,8	0,018	-0,002	30,236
130,9	0,017	-0,002	30,236
131,0	0,015	0,013	30,079
131,2	0,014	-0,002	30,236
131,3	0,014	-0,010	30,236
131,4	0,013	-0,010	30,236
131,6	0,014	0,006	30,236
131,7	0,015	0,006	30,236
131,9	0,016	0,006	30,236
132,0	0,018	0,021	30,236
132,1	0,020	0,013	30,236
132,3	0,022	-0,002	30,236
132,4	0,024	-0,010	30,236
132,5	0,026	-0,018	30,236
132,7	0,027	-0,010	30,236
132,8	0,028	-0,010	30,236
133,0	0,028	0,006	30,079
133,1	0,028	0,021	30,079
133,2	0,027	0,029	30,079
133,4	0,025	0,021	30,236
133,5	0,023	0,021	30,236
133,6	0,021	0,006	30,236
133,8	0,019	-0,010	30,236
133,9	0,017	-0,010	30,236
134,0	0,017	-0,018	30,236
134,2	0,017	-0,010	30,236
134,3	0,018	0,006	30,079
134,5	0,021	-0,002	30,236
134,6	0,025	-0,018	30,079
134,7	0,030	-0,018	30,079
134,9	0,035	-0,010	30,236
135,0	0,040	-0,010	30,236
135,1	0,044	-0,002	30,236
135,3	0,047	0,029	30,079
135,4	0,049	0,029	30,079
135,5	0,049	0,037	30,079
135,7	0,046	0,045	30,236
135,8	0,043	0,037	30,236
136,0	0,038	0,029	30,236
136,1	0,032	-0,002	30,236
136,2	0,027	-0,002	30,236
136,4	0,024	-0,018	30,236
